Nome,Garantia,Cor,Fabricante/marca ,Modelo ,Numero de serie ,Data de fabricação,Validade ,Condição/localização,Patrimonio ,Quantidade,,,
sensor de Inclinação  C/Mercúrio ,n/info,,DESCONHECIDO,KY-017,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Buzzer  contínuo/ativo,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,36,,,
Sensor de distância ultrassônico,n/info,,DESCONHECIDO,HC-SR04,DESCONHECIDO ,N/INFORMADO,n/info,caixa organiza,,33,,,
Módulo relé de 1 canal,n/info,,DESCONHECIDO,5V/10A HW-187,DESCONHECIDO ,N/INFORMADO,n/info,caixa ,,24,,,
Módulo relé de 2 canais ,n/info,,DESCONHECIDO,5VDC ,DESCONHECIDO ,N/INFORMADO,n/info,caixa ,,1,,,
Módulo sensor de som/poema,n/info,,DESCONHECIDO,KY037,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Sensor de presença ,n/info,,DESCONHECIDO,Hc-sr501,DESCONHECIDO ,N/INFORMADO,n/info,caixa organiza,,24,,,
Joystick,n/info,,DESCONHECIDO,Ky-023,DESCONHECIDO ,N/INFORMADO,n/info,caixa ,,18,,,
Modulo sensor de rastramento ,n/info,,DESCONHECIDO,KY-033/ TCRT5000,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Módulo p arduino ,n/info,,DESCONHECIDO,SRD-05VDC-SL-C,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Sensor infravermelho,n/info,,DESCONHECIDO,IR KY -032,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
sensor de umidade e temperatura ,n/info,,DESCONHECIDO,DHT11,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,18,,,
Sensor de chama,n/info,,DESCONHECIDO,kY-026,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
sensor magnetico ,n/info,,DESCONHECIDO,Reed Switch KY-025,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Interruptor vibração/choque,n/info,,DESCONHECIDO,KY-002,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
sensor capacitivo (toque),n/info,,DESCONHECIDO,TTP223B,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,8,,,
sensor magnetico de efeito Hall (analógico),n/info,,DESCONHECIDO,KY-024,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,6,,,
sensor temperatura analógico ,n/info,,DESCONHECIDO,KY-013 NTC 10K,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Módulo emissor laser ,n/info,,DESCONHECIDO,KY-008,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
sensor Hall (Digital),n/info,,DESCONHECIDO,KY-003,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,6,,,
Sensor Magnético Hall,n/info,,DESCONHECIDO,Ky-035,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,13,,,
Sensor de inclinação/impacto ,n/info,,DESCONHECIDO,KY-020,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Módulo Led,n/info,,DESCONHECIDO,RGB SMD KY-009,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Módulo foto interruptor ,n/info,,DESCONHECIDO,KY-010,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Sensor Toque/batida,n/info,,DESCONHECIDO,KY-031,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
Sensor de botão ,n/info,,DESCONHECIDO,KY-004,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,7,,,
