Descrição dos itens,Número da NF,Data de emissão,Fornecedor ,02.082.884/0001-04,Quantidade ,Valor total ,,
Fita isolante 20mts,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 12,00",,
Luva de redução pvc ¾,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,3,"R$ 16,50",,
Fita veda rosca Amanco ,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 10,00",,
Rabicho pvc30Ca,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,3,"R$ 20,70",,
Cola madeira 90g,000.258.154,21/11/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 5,90",,
Cadeados,N/info,10/08/2023,JR chaveiro ,11.652.715/0001-45,2,"R$ 50,00",,
Copia chave ,N/info,10/08/2023,JR chaveiro ,11.652.715/0001-45,1,"R$ 8,00",,
Adesivo liquido para impressao 3D,000.083.395,08/08/2025,COTRIM TECNOLOGIAS LTDA,17.211.203/0001-20,1,"R$ 19,00",,
JOGO DE FERRAMENTAS 65 PCSTRAMONTINA VERDE,,02/06/2023,MAGAZINE LUIZA S/A,47.960.950/0897-85,1,"R$ 179,90",,
CARDBOARD - KIT PARA CELULAR - 5VR,000.022.607,05/06/2023,Ohana Outlet Importacao e Exportacao LTDA,23.198.850/0001-41,5,"R$ 99,90",,
BORNE PINO BANANA 4mm,000.011.513,14/11/2023,ALL VIRTUAL LTDA,13.803.088/0001-21,8,"R$ 27,94",,
Pino banana 4mm,000.011.513,14/11/2023,ALL VIRTUAL LTDA,13.803.088/0001-21,8,"R$ 19,96",,
ORGANIZADOR 7000,000.046.249,15/08/2024,Mundial Varieidades LTDA,24.231.750/0001-32,2,"R$ 81,76",,
EPIQVISION FH-02 PROJETOR EPSON FULL HD,033.289.675,11/09/2023,Americanas S.A,00.776.574/0013-90,1,"R$ 3.299,99",,
Fusível cerâmico ,000.061.392,11/07/2024, C&B Chaveiro e bazar itaboraí LTDA,29.803.499/0001-57,2,"R$ 6,00",,
Balde de plástico BL c/ alça ,000.061.392,11/07/2024, C&B Chaveiro e bazar itaboraí LTDA,29.803.499/0001-57,1,"R$ 6,90",,
Fita dupla face espuma ,000.061.392,11/07/2024, C&B Chaveiro e bazar itaboraí LTDA,29.803.499/0001-57,1,"R$ 9,90",,
Fita crepe 24mm x 50,000.061.392,11/07/2024, C&B Chaveiro e bazar itaboraí LTDA,29.803.499/0001-57,1,"R$ 8,00",,
"Jogo 10 Disco Serra Diamantada Corte 35mm Kit
Micro Retifica",000.203.432,14/11/2023,ARTH DIAS COMERCIO DE MERCADORIAS EM,34.644.540/0001-20,1,"R$ 34,98",,
"Perfil Trilho Lateral H2 2,40mt - SSM",005.614,14/03/2024,Ecomatize soluções em tecnologia LTDA,26.125.828/0001-60,4,"R$ 359,60",,
Grampo Intermediario - BelEnergy,005.614,14/03/2024,Ecomatize soluções em tecnologia LTDA,26.125.828/0001-60,6,"R$ 59,40",,
Grampo Final 30mm - BelEnergy,005.614,14/03/2024,Ecomatize soluções em tecnologia LTDA,26.125.828/0001-60,4,"R$ 39,60",,
Gancho Ajustavel Lateral Telha Ceramica TC04 com fixador,005.614,14/03/2024,Ecomatize soluções em tecnologia LTDA,26.125.828/0001-60,8,"R$ 343,20",,
Alongador Gancho - SSM,005.614,14/03/2024,Ecomatize soluções em tecnologia LTDA,26.125.828/0001-60,8,"R$ 39,20",,
Bicarbonato ,000.020.304,05/09/2023,Drogaria FV de icaraí LTDA,06.993.428/0001-69,1,"R$ 3,60",,
Conjunto de mangueira de chuveiro ,000.249.426,05/09/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 11,00",,
Cola Tek bond 20g,000.249.426,05/09/2023,Chaveiro e bazar itaboraí ,02.082.884/0001-04,1,"R$ 10,90",,
"COMPENSADO NAVAL 15MM (2,20X1,60) [CORTADO ]",000.001.883,25/01/2024,EDILBERTO DE LIMA TAVARES,02.700.339/0001-26,2,"R$ 573,00",,
Pino macho gigante 2P+p CZ 10A 1416 ilumini,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,4,"R$ 31,20",,
Lampada led A-60 9w bivolt ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,12,"R$ 52,80",,
Plafonier bocal louça E27 BR,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,12,"R$ 59,88",,
Caixa luz preta 4x2 preta 22866 amanco ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,42,"R$ 67,20",,
INT ARI BCA C/P 4X2 IP SIMP TRAMONTINA ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,3,"R$ 42,60",,
Tomada ARIA BCA4x2 Tramontina ,"3215
",31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,3,"R$ 43,50",,
Disjuntor DIM UNIP 10A ge,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,3,"R$ 29,70",,
Trilho p/ disjuntor c/2m,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,5,"R$ 20,75",,
RELE fácil biv c/b fixa qr51 qualitronix ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,3,"R$ 83,10",,
Fita isol 20mts imperial 3m ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,12,"R$ 123,60",,
"Parafuso philips bicrom cabeça chata 3,0x25",3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,200,"R$ 20,00",,
placa 4x2 ip vert ARIA BCA 57203003 tramontina ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,6,"R$ 22,80",,
MOD ARIA BCA INTERRUP PARAL 6a/250v 57217002 tramontina ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,6,"R$ 39,90",,
INT MAIS BLA CP4X2 SIMPLES 3906 fame ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,3,"R$ 22,50",,
Placa mais blanc 4x2 1 seção 3936 FAME,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,3,"R$ 12,30",,
INT. EV S/P ITERM 10A 2871 FAME ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,3,"R$ 108,60",,
Placa EV 4X2 CEGA C/ SUP 2883/3897 FAME ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,12,"R$ 52,80",,
Tubo CORR e flex MT 25MM tramontina ,3215,31/01/2024,Lunar elétricos e hidráulicos  EIRELI,36.042.279/0001-13,12,"R$ 23,88",,
Filtro de linha 5 tomadas ,000021883,11/03/2024,Leonice Maria dos Santos ,41.726.189/0001-81,5,"R$ 121,10",,
Valvula Solenoide Simples Entrada Agua Com suporte,000.266.846,13/11/2023,T C Comércio de peças para refrigeração ,34.329.915/0001-67,3,"R$ 95,25",,
,,,,,,,Valor Total:,"41.874,13 BRL"
